FIELD1,FIELD2,FIELD3,Threat Actor,State Sponsored (Nation State),Idealogically Motivated (Hacktivist),Financially Motivated
Action ID,Action Name,Action Mechanism,Action Category,Action Likelihood Score,Action Likelihood Score,Action Likelihood Score
1,Access system storage,Collect and Analyze Information,Direct target exploration,0.95,0,0
2,Port Scanning,Collect and Analyze Information,Direct target exploration,0.95,0,0
3,Micro-probing (read device's internal memory- data- keys- or program code),Collect and Analyze Information,Direct target exploration,0.9,0,0
4,RFID Tag tracking - tracing a tag through rogue readers,Collect and Analyze Information,Direct target exploration,0.33,0,0
5,Obtain cryptographic keys from stolen/subverted node (e.g. Zigbee shared network key),Collect and Analyze Information,Direct target exploration,0.5,0,0
6,Network traffic sniffing,Collect and Analyze Information,Interception / eavesdropping,0.75,0,0
7,Keylogging,Collect and Analyze Information,Interception / eavesdropping,0.9,0,0
8,Node or network topology discovery: Clock skewing,Collect and Analyze Information,Inference attacks,0.33,0,0
9,Node or network topology discovery: Homing,Collect and Analyze Information,Inference attacks,0.33,0,0
10,Side channel analysis of encrypted data: Timing analysis,Collect and Analyze Information,Inference attacks,0.33,0,0
11,Side channel analysis of encrypted data: Power analysis,Collect and Analyze Information,Inference attacks,0.33,0,0
12,Side channel analysis of encrypted data: Fault analysis,Collect and Analyze Information,Inference attacks,0.33,0,0
13,Side channel analysis of encrypted data: Electromagnetic analysis,Collect and Analyze Information,Inference attacks,0.33,0,0
14,Cryptanalysis - End encryption key being used: Known-plaintext attack,Collect and Analyze Information,Inference attacks,0.33,0,0
15,Cryptanalysis - End encryption key being used: Chosen-plaintext attack,Collect and Analyze Information,Inference attacks,0.33,0,0
16,Cryptanalysis - End encryption key being used: Chosen-ciphertext attack,Collect and Analyze Information,Inference attacks,0.33,0,0
17,Cryptanalysis - End encryption key being used: Ciphertext-only attack,Collect and Analyze Information,Inference attacks,0.33,0,0
18,User accounts footprinting,Collect and Analyze Information,Inference attacks,0.9,0,0
19,Applications / services / processes footprinting,Collect and Analyze Information,Inference attacks,0.9,0,0
20,Software/firmware reverse engineering,Collect and Analyze Information,Reverse Engineering,0.33,0,0
21,Hardware reverse engineering (e.g. layout reconstruction),Collect and Analyze Information,Reverse Engineering,0.33,0,0
22,Encryption Brute Forcing,Employ Probabilistic Techniques,Brute Force,0.33,0,0
23,Password Brute Forcing,Employ Probabilistic Techniques,Brute Force,0.9,0,0
24,Software fuzzing,Employ Probabilistic Techniques,Fuzzing,0.33,0,0
25,Hardware fuzzing,Employ Probabilistic Techniques,Fuzzing,0.33,0,0
26,Dictionary or list-based attack,Employ Probabilistic Techniques,Dictionary or list-based attack,0.9,0,0
27,Signature Spoofing,Engage in Deceptive Interactions,Identity impersonation,0.5,0,0
28,Man-in-the-middle - secretly relay and possibly alter communication between 2 entities/nodes,Engage in Deceptive Interactions,Identity impersonation,0.75,0,0
29,RPL Rank attack - attacker changes rank value of node to attract child nodes and a large amount of traffic going towards root node,Engage in Deceptive Interactions,Identity impersonation,0.33,0,0
30,Node replication (clone node) - existing node ID is copied to network- disrupting network performance,Engage in Deceptive Interactions,Identity impersonation,0.33,0,0
31,Node spoofing (clone ID) - malicious node clones identity of another node in order to gain access to traffic going through or arriving at victim node,Engage in Deceptive Interactions,Identity impersonation,0.33,0,0
32,Node injection (false node- impersonation) - physically deploy malicious node between nodes-controlling all data flow to and from nodes,Engage in Deceptive Interactions,Identity impersonation,0.33,0,0
33,Sybil attack - malicious node uses several identities on same physical node- allowing malware to be propagated and large parts of network to be taken under control,Engage in Deceptive Interactions,Identity impersonation,0.33,0,0
34,Spoofed- altered- or replayed routing information: Sinkhole attack,Engage in Deceptive Interactions,Advertise false information,0.33,0,0
35,Spoofed- altered- or replayed routing information: Wormhole attack,Engage in Deceptive Interactions,Advertise false information,0.33,0,0
36,Spoofed- altered- or replayed routing information: Create routing loop,Engage in Deceptive Interactions,Advertise false information,0.33,0,0
37,Spoofed- altered- or replayed routing information: RPL network Version Attack,Engage in Deceptive Interactions,Advertise false information,0.33,0,0
38,Spoofed- altered- or replayed routing information: RPL network Neighbor Attack,Engage in Deceptive Interactions,Advertise false information,0.33,0,0
39,HELLO flood,Engage in Deceptive Interactions,Advertise false information,0.5,0,0
40,Acknowledgement spoofng/flooding - spoofs acknowledgements- providing false information to neighboring nodes,Engage in Deceptive Interactions,Advertise false information,0.33,0,0
41,Replay attack - original message is intercepted- recorded- and replayed to recipient at later time,Engage in Deceptive Interactions,Send false messages,0.5,0,0
42,Message corruption - modification of message content,Engage in Deceptive Interactions,Send false messages,0.33,0,0
43,Message fabrication: Fragmentation attack - attacker takes advantage of receiver waiting for all fragments to arrive and,Engage in Deceptive Interactions,Send false messages,0.33,0,0
44,Message fabrication: De-synchronization - fake messages are created at one or both endpoints requesting re-transmissions,Engage in Deceptive Interactions,Send false messages,0.33,0,0
45,Message fabrication: Traffic Connection Reset,Engage in Deceptive Interactions,Send false messages,0.33,0,0
46,RPL network Local repair attack - attacker periodically sends local repair message- causing more overhead,Engage in Deceptive Interactions,Send false messages,0.33,0,0
47,RPL network DIS attack - malicious node periodically sends DIS (DODAG information solicitation) messages,Engage in Deceptive Interactions,Send false messages,0.33,0,0
48,Path Traversal,Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.75,0,0
49,Alternate Encoding,Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.33,0,0
50,SQL Injection,Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.9,0,0
51,Cross-Site Scripting (XSS),Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.9,0,0
52,Inserting malicious scripts,Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.9,0,0
53,Format String Injection,Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.75,0,0
54,Command Delimiters Injection (e.g. appending semicolons),Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.75,0,0
55,Code injection,Engage in Deceptive Interactions,Inject Unexpected Input (Malformed Input Data),0.9,0,0
56,Clickjacking,Engage in Deceptive Interactions,Action Spoofing,0.9,0,0
57,Form hijacking,Engage in Deceptive Interactions,Action Spoofing,0.9,0,0
58,Fake user dialog,Engage in Deceptive Interactions,Action Spoofing,0.9,0,0
59,Oveflow Buffers,Manipulate Data Structures,Oveflow Buffers,0.5,0,0
60,Shared Data Manipulation,Manipulate Data Structures,Shared Data Manipulation,0.5,0,0
61,Pointer Manipulation,Manipulate Data Structures,Pointer Manipulation,0.5,0,0
62,Integer Attacks (integer overflow),Manipulate Data Structures,Integer Attacks (integer overflow),0.5,0,0
63,Data aggregation distortion,Manipulate Data Structures,Data aggregation distortion,0.33,0,0
64,Transport flooding,Abuse Existing Functionality,Resource exhaustion,0.75,0,0
65,Data link layer Resource exhaustion (continuous channel access),Abuse Existing Functionality,Resource exhaustion,0.75,0,0
66,Internet smurf attack,Abuse Existing Functionality,Resource exhaustion,0.75,0,0
67,Amplification attack,Abuse Existing Functionality,Resource exhaustion,0.75,0,0
68,Overwhelm,Abuse Existing Functionality,Resource exhaustion,0.75,0,0
69,Application flooding,Abuse Existing Functionality,Resource exhaustion,0.75,0,0
70,Sleep deprivation,Abuse Existing Functionality,Resource exhaustion,0.33,0,0
71,Inducing Account Lockout,Abuse Existing Functionality,Resource exhaustion,0.33,0,0
72,Password Recovery Exploitation,Abuse Existing Functionality,Password Functionality Misuse,0.75,0,0
73,Password Reset User Enumeration,Abuse Existing Functionality,Password Functionality Misuse,0.5,0,0
74,Abuse code dissemination services,Abuse Existing Functionality,Abuse code dissemination services,0.75,0,0
75,API Manipulation,Abuse Existing Functionality,API Manipulation,0.75,0,0
